date,SampleCode,plate,area mm^2,morph,temp,pH,LightDepth,OxyRate nmol/mm2/min
14/05/2025,plateB_HF_7.6_10,plateB,1.628,HF,23,7.6,10m,2.552004154
14/05/2025,plateB_NF_7.6_1,plateB,2.73,NF,23,7.6,10m,2.153453888
14/05/2025,plateB_HF_7.6_11,plateB,2.5,HF,23,7.6,10m,2.149815012
14/05/2025,plateB_HF_7.6_4,plateB,1.487,HF,23,7.6,10m,2.062081215
14/05/2025,plateB_HF_7.6_10,plateB,1.628,HF,23,7.6,10m,2.041603323
14/05/2025,plateB_HF_7.6_5,plateB,2.739,HF,23,7.6,10m,1.987697959
14/05/2025,plateB_NF_7.6_2,plateB,1.923,NF,23,7.6,10m,1.974201507
14/05/2025,plateB_HF_7.6_8,plateB,3.131,HF,23,7.6,10m,1.917845926
14/05/2025,plateB_HF_7.6_9,plateB,2.195,HF,23,7.6,10m,1.747582317
14/05/2025,plateB_NF_7.6_1,plateB,2.73,NF,23,7.6,10m,1.72276311
14/05/2025,plateB_HF_7.6_11,plateB,2.5,HF,23,7.6,10m,1.71985201
14/05/2025,plateB_HF_7.6_4,plateB,1.487,HF,23,7.6,10m,1.649664972
14/05/2025,plateB_HF_7.6_14,plateB,2.758,HF,23,7.6,10m,1.608390355
14/05/2025,plateB_HF_7.6_7,plateB,2.62,HF,23,7.6,10m,1.607585617
14/05/2025,plateB_HF_7.6_5,plateB,2.739,HF,23,7.6,10m,1.590158367
14/05/2025,plateB_HF_7.6_8,plateB,3.131,HF,23,7.6,10m,1.534276741
14/05/2025,plateB_HF_7.6_12,plateB,3.438,HF,23,7.6,10m,1.431184869
14/05/2025,plateB_HF_7.6_9,plateB,2.195,HF,23,7.6,10m,1.398065853
14/05/2025,plateC_NF_7.6_4,plateC,3.087,NF,23,7.6,10m,1.316164544
14/05/2025,plateB_HF_7.6_14,plateB,2.758,HF,23,7.6,10m,1.286712284
14/05/2025,plateB_HF_7.6_7,plateB,2.62,HF,23,7.6,10m,1.286068493
14/05/2025,plateB_HF_7.6_13,plateB,2.535,HF,23,7.6,10m,1.260929965
14/05/2025,plateB_HF_7.6_1,plateB,2.494,HF,23,7.6,10m,1.221805031
14/05/2025,plateC_NF_7.6_1,plateC,1.584,NF,23,7.6,10m,1.190462151
14/05/2025,plateB_HF_7.6_12,plateB,3.438,HF,23,7.6,10m,1.144947895
14/05/2025,plateB_HF_7.6_6,plateB,2.291,HF,23,7.6,10m,1.094921318
14/05/2025,plateB_HF_7.6_13,plateB,2.535,HF,23,7.6,10m,1.008743972
14/05/2025,plateB_HF_7.6_1,plateB,2.494,HF,23,7.6,10m,0.977444025
14/05/2025,plateC_NF_7.6_1,plateC,1.584,NF,23,7.6,10m,0.952369721
14/05/2025,plateB_HF_7.6_6,plateB,2.291,HF,23,7.6,10m,0.875937054
14/05/2025,plateC_NF_7.6_3,plateC,4.06,NF,23,7.6,10m,0.819065908
14/05/2025,plateB_NF_7.6_3,plateB,2.887,NF,23,7.6,10m,0.800425765
14/05/2025,plateC_NF_7.6_2,plateC,3.749,NF,23,7.6,10m,0.729175044
14/05/2025,plateB_HF_7.6_2,plateB,2.398,HF,23,7.6,10m,0.694833175
14/05/2025,plateC_NF_7.6_3,plateC,4.06,NF,23,7.6,10m,0.655252726
14/05/2025,plateB_HF_7.6_3,plateB,2.039,HF,23,7.6,10m,0.634119688
14/05/2025,plateC_NF_7.6_2,plateC,3.749,NF,23,7.6,10m,0.583340036
14/05/2025,plateB_HF_7.6_2,plateB,2.398,HF,23,7.6,10m,0.55586654
14/05/2025,plateB_HF_7.6_3,plateB,2.039,HF,23,7.6,10m,0.507295751
14/05/2025,plateA_HF_7.8_12,plateA,1.115,HF,23,7.8,10m,2.359947414
14/05/2025,plateA_NF_7.8_4,plateA,1.944,NF,23,7.8,10m,2.037688965
14/05/2025,plateA_NF_7.8_4,plateA,1.944,NF,23,7.8,10m,1.630151172
14/05/2025,plateB_NF_7.8_3,plateB,1.956,NF,23,7.8,10m,1.618400648
14/05/2025,plateA_HF_7.8_9,plateA,1.651,HF,23,7.8,10m,1.337967948
