Sample No,morph,Conc (Cell/polyp),Treatment,Mean_Size_mm2,Size_SD,Conc (cell/mm^2)
401,HF,25000,32,2.745,1.189,9107.468124
402,NF,24166.66667,32,3.255,1.262,7424.475167
403,NF,46875,32,3.255,1.262,14400.92166
404,HF,85000,27,3.163,1.911,26873.22163
405,HF,130000,27,3.163,1.911,41100.22131
406,HF,145833.3333,27,3.163,1.911,46106.01748
407,HF,13333.33333,27,3.163,1.911,4215.407313
408,HF,63333.33333,27,3.163,1.911,20023.18474
409,NF,125625,27,3.099,1.747,40537.27009
410,NF,66875,27,3.099,1.747,21579.54179
411,NF,68333.33333,27,3.099,1.747,22050.12369
412,NF,123750,27,3.099,1.747,39932.23621
413,NF,175000,27,3.099,1.747,56469.82898
414,NF,59166.66667,Dark,2.722,1.51,21736.46828
415,NF,25000,27,3.099,1.747,8067.118425
416,HF,60625,50m,3.921,2.615,15461.61693
417,HF,45625,50m,3.921,2.615,11636.06223
418,HF,23750,50m,3.921,2.615,6057.128284
419,HF,61666.66667,50m,3.921,2.615,15727.28046
420,NF,46250,50m,3.865,2.181,11966.36481
421,NF,37500,50m,3.865,2.181,9702.457956
422,NF,28333.33333,50m,3.865,2.181,7330.74601
423,HF,26666.66667,Dark,3.795,2.181,7026.789636
424,HF,27500,Dark,3.795,2.181,7246.376812
425,HF,64166.66667,Dark,3.795,2.181,16908.21256
426,NF,15000,Dark,2.722,1.51,5510.653931
427,NF,13333.33333,Dark,2.722,1.51,4898.359048
428,HF,63125,Ambient (Control),2.665,1.634,23686.67917
429,HF,81666.66667,Ambient (Control),2.665,1.634,30644.1526
430,HF,61875,Ambient (Control),2.665,1.634,23217.63602
431,HF,37500,Ambient (Control),2.665,1.634,14071.29456
432,NF,71250,Ambient (Control),2.416,1.318,29490.89404
433,NF,50833.33333,Ambient (Control),2.416,1.318,21040.28697
434,NF,37500,Ambient (Control),2.416,1.318,15521.52318
435,HF,140833.3333,pH 7.8,2.095,0.984,67223.54811
436,HF,79166.66667,pH 7.8,2.095,0.984,37788.38505
437,HF,142500,pH 7.8,2.095,0.984,68019.09308
438,HF,17500,pH 7.8,2.095,0.984,8353.221957
439,HF,37500,pH 7.8,2.095,0.984,17899.76134
440,NF,104166.6667,pH 7.8,2.374,1.014,43878.12414
441,NF,101666.6667,pH 7.8,2.374,1.014,42825.04916
442,NF,103333.3333,pH 7.8,2.374,1.014,43527.09912
443,HF,13333.33333,pH 7.6,2.447,0.511,5448.848929
444,HF,97500,pH 7.6,2.447,0.511,39844.70781
445,HF,78750,pH 7.6,2.447,0.511,32182.264
446,HF,68750,pH 7.6,2.447,0.511,28095.6273
447,NF,63333.33333,pH 7.6,2.86,0.86,22144.52214
448,NF,140000,pH 7.6,2.86,0.86,48951.04895
449,HF,15000,Ambient (Control),2.665,1.634,5628.517824
450,HF,33750,Ambient (Control),2.665,1.634,12664.1651
451,HF,30000,Ambient (Control),2.665,1.634,11257.03565
452,HF,41666.66667,Ambient (Control),2.665,1.634,15634.77173
453,HF,26666.66667,Ambient (Control),2.665,1.634,10006.25391
454,NF,53333.33333,Ambient (Control),2.416,1.318,22075.05519
455,NF,20000,Ambient (Control),2.416,1.318,8278.145695
456,NF,24166.66667,Ambient (Control),2.416,1.318,10002.75938
50,NF,18750,Ambient (Control),2.416,1.318,7760.761589
51,HF,60833.33333,Ambient (Control),2.665,1.634,22826.76673
52,HF,107500,Ambient (Control),2.665,1.634,40337.71107
53,NF,43750,Ambient (Control),2.416,1.318,18108.44371
54,NF,71666.66667,Ambient (Control),2.416,1.318,29663.35541
55,HF,56250,Ambient (Control),2.665,1.634,21106.94184
56,NF,87500,27,3.099,1.747,28234.91449
58,HF,35000,Ambient (Control),2.665,1.634,13133.20826
59,NF,45833.33333,Ambient (Control),2.416,1.318,18970.75055
60,PF,40833.33333,Ambient (Control),2.495,1.909,16366.06546
61,PF,42500,Ambient (Control),2.495,1.909,17034.06814
62,PF,60000,Ambient (Control),2.495,1.909,24048.09619
63,HF,62500,Ambient (Control),2.665,1.634,23452.1576
64,NF,65000,Ambient (Control),2.416,1.318,26903.97351
65,HF,26666.66667,50m,3.921,2.615,6800.986144
66,HF,30000,50m,3.921,2.615,7651.109411
67,PF,20000,50m,3.395,0.974,5891.0162
68,NF,39000,50m,3.865,2.181,10090.55627
69,PF,50000,50m,3.395,0.974,14727.5405
70,PF,35000,50m,3.395,0.974,10309.27835
71,HF,15000,Dark,3.795,2.181,3952.56917
72,HF,17500,50m,3.921,2.615,4463.147156
73,NF,45000,50m,3.865,2.181,11642.94955
74,PF,16666.66667,Dark,3.321,1.87,5018.568705
75,PF,17500,Dark,3.321,1.87,5269.497139
76,NF,28125,Dark,2.722,1.51,10332.47612
77,PF,32500,Ambient (Control),2.495,1.909,13026.0521
78,PF,28750,Ambient (Control),2.495,1.909,11523.04609
79,PF,35000,Ambient (Control),2.495,1.909,14028.05611
80,NF,15000,Ambient (Control),2.416,1.318,6208.609272
81,PF,10833.33333,Ambient (Control),2.495,1.909,4342.017367
82,PF,21666.66667,Ambient (Control),2.495,1.909,8684.034737
83,NF,23750,32,3.255,1.262,7296.466974
84,NF,23333.33333,27,3.099,1.747,7529.310529
85,HF,42500,Ambient (Control),2.665,1.634,15947.46717
86,HF,76666.66667,27,3.163,1.911,24238.59206
87,HF,96000,27,3.163,1.911,30350.93266
88,PF,63333.33333,32,3.162,1.517,20029.51718
89,HF,32500,Ambient (Control),2.665,1.634,12195.12195
90,PF,99166.66667,Ambient (Control),2.495,1.909,39746.15899
91,PF,40000,Ambient (Control),2.495,1.909,16032.06413
92,HF,45000,32,2.745,1.189,16393.44262
93,PF,106666.6667,32,3.162,1.517,33733.92369
94,PF,47500,27,1.836,,25871.45969
95,PF,66666.66667,27,1.836,,36310.82063
96,HF,#DIV/0!,Ambient (Control),2.665,1.634,#DIV/0!
97,PF,51666.66667,27,1.836,,28140.88599
98,PF,28125,27,1.836,,15318.62745
99,HF,22500,32,2.745,1.189,8196.721311
100,NF,31000,32,3.255,1.262,9523.809524
10,PF,26500,Ambient (Control),2.495,1.909,10621.24248
1,HF,77000,Ambient (Control),2.665,1.634,28893.05816
2,HF,62000,Ambient (Control),2.665,1.634,23264.54034
3,HF,36000,Ambient (Control),2.665,1.634,13508.44278
4,PF,34500,Ambient (Control),2.495,1.909,13827.65531
5,PF,44500,Ambient (Control),2.495,1.909,17835.67134
6,PF,46500,Ambient (Control),2.495,1.909,18637.27455
7,PF,20500,Ambient (Control),2.495,1.909,8216.432866
8,PF,47000,Ambient (Control),2.495,1.909,18837.67535
9,PF,23500,Ambient (Control),2.495,1.909,9418.837675
