ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005615,extracellular space,54/214,409/8488,0.13202934,5.236752508,14.12349481,5.02E-25,1.39E-21,1.16E-21,LOC111327082/LOC111328748/LOC111328024/LOC111320817/LOC111336303/LOC111325642/LOC111320871/LOC111323911/LOC111340635/LOC111334934/LOC111320952/LOC111320821/LOC111332308/LOC111327252/LOC111320822/LOC111340891/LOC111335819/LOC111322288/LOC111328749/LOC111332789/LOC111325671/LOC111343161/LOC111327625/LOC111320842/LOC111322161/LOC111345144/LOC111321759/LOC111324983/LOC111321489/LOC111338418/LOC111320751/LOC111327334/LOC111325560/LOC111343966/LOC111336425/LOC111326819/LOC111321178/LOC111323636/LOC111328120/LOC111332138/LOC111333695/LOC111325220/LOC111344752/LOC111326942/LOC111328207/LOC111337168/LOC111324368/LOC111321502/LOC111329016/LOC111343646/LOC111324943/LOC111324400/LOC111340622/LOC111334472,54
GO:0031012,extracellular matrix,35/214,169/8488,0.207100592,8.214344965,15.23459539,8.06E-23,1.11E-19,9.28E-20,LOC111320817/LOC111336303/LOC111320871/LOC111323911/LOC111334934/LOC111333735/LOC111320781/LOC111324935/LOC111320821/LOC111332308/LOC111320822/LOC111321843/LOC111340891/LOC111324993/LOC111335693/LOC111327625/LOC111320842/LOC111322161/LOC111345144/LOC111321759/LOC111324983/LOC111321489/LOC111320751/LOC111322311/LOC111327334/LOC111321680/LOC111326819/LOC111331622/LOC111322256/LOC111325220/LOC111324368/LOC111324945/LOC111335667/LOC111324943/LOC111321308,35
GO:0030198,extracellular matrix organization,34/214,179/8488,0.189944134,7.533858925,14.20849631,6.71E-21,6.18E-18,5.15E-18,LOC111327880/LOC111328024/LOC111320817/LOC111336303/LOC111320871/LOC111334934/LOC111330856/LOC111320781/LOC111324935/LOC111320821/LOC111332308/LOC111327252/LOC111320822/LOC111322288/LOC111324993/LOC111336934/LOC111335693/LOC111327625/LOC111320842/LOC111321759/LOC111324983/LOC111321489/LOC111320751/LOC111321680/LOC111326819/LOC111331622/LOC111326544/LOC111325220/LOC111324368/LOC111324945/LOC111335667/LOC111324943/LOC111321308/LOC111328842,34
GO:0062023,collagen-containing extracellular matrix,21/214,103/8488,0.203883495,8.08674349,11.63697287,6.74E-14,4.66E-11,3.88E-11,LOC111320817/LOC111336303/LOC111320871/LOC111340635/LOC111333735/LOC111320781/LOC111320821/LOC111332308/LOC111320822/LOC111321843/LOC111335693/LOC111327625/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111322311/LOC111326819/LOC111322256/LOC111325220/LOC111324368,21
GO:0005201,extracellular matrix structural constituent,14/214,39/8488,0.358974359,14.23819794,13.32553789,2.37E-13,1.31E-10,1.09E-10,LOC111320817/LOC111336303/LOC111320871/LOC111320781/LOC111320821/LOC111332308/LOC111320822/LOC111340891/LOC111320820/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111321680,14
GO:0005604,basement membrane,18/214,80/8488,0.225,8.924299065,11.45211575,7.42E-13,3.41E-10,2.84E-10,LOC111320817/LOC111336303/LOC111333735/LOC111320781/LOC111320821/LOC111321843/LOC111335693/LOC111327625/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111322311/LOC111326819/LOC111322256/LOC111332138/LOC111325220/LOC111324368,18
GO:0004222,metalloendopeptidase activity,17/214,85/8488,0.2,7.93271028,10.33050523,2.50E-11,9.88E-09,8.23E-09,LOC111327880/LOC111323911/LOC111325264/LOC111320816/LOC111333986/LOC111324935/LOC111324993/LOC111336934/LOC111324983/LOC111328588/LOC111342546/LOC111324945/LOC111321502/LOC111335667/LOC111324943/LOC111321308/LOC111322209,17
GO:0005581,collagen trimer,8/214,15/8488,0.533333333,21.15389408,12.56354581,7.93E-10,2.74E-07,2.28E-07,LOC111320817/LOC111320871/LOC111320781/LOC111320821/LOC111320822/LOC111320842/LOC111321489/LOC111320751,8
GO:0005788,endoplasmic reticulum lumen,20/214,155/8488,0.129032258,5.1178776,8.320794976,1.62E-09,4.98E-07,4.15E-07,LOC111320817/LOC111320871/LOC111323911/LOC111320781/LOC111320821/LOC111320822/LOC111322288/LOC111328749/LOC111325671/LOC111320842/LOC111321759/LOC111321489/LOC111320751/LOC111327334/LOC111321403/LOC111323636/LOC111326544/LOC111328120/LOC111344752/LOC111328207,20
GO:0048407,platelet-derived growth factor binding,7/214,Dec-88,0.583333333,23.13707165,12.34074985,4.18E-09,1.15E-06,9.62E-07,LOC111320817/LOC111320871/LOC111320821/LOC111320822/LOC111322288/LOC111320842/LOC111320751,7
GO:0019838,growth factor binding,13/214,79/8488,0.164556962,6.526913522,7.936888299,7.03E-08,1.76E-05,1.47E-05,LOC111320817/LOC111336303/LOC111320871/LOC111320821/LOC111327252/LOC111320822/LOC111322288/LOC111335693/LOC111333478/LOC111320842/LOC111345144/LOC111320751/LOC111326544,13
GO:0042330,taxis,29/214,394/8488,0.073604061,2.919398453,6.274193102,1.69E-07,3.89E-05,3.24E-05,LOC111327880/LOC111328024/LOC111328393/LOC111336303/LOC111332158/LOC111323862/LOC111342023/LOC111322288/LOC111328749/LOC111336934/LOC111335693/LOC111327625/LOC111333478/LOC111333901/LOC111331664/LOC111323127/LOC111323777/LOC111345144/LOC111321759/LOC111326819/LOC111323636/LOC111324532/LOC111325220/LOC111331301/LOC111333767/LOC111334761/LOC111331073/LOC111338912/LOC111340622,29
GO:0017171,serine hydrolase activity,11/214,61/8488,0.180327869,7.152443695,7.755365993,2.80E-07,5.95E-05,4.95E-05,LOC111327880/LOC111320952/LOC111328749/LOC111336934/LOC111338418/LOC111327334/LOC111323636/LOC111326544/LOC111333695/LOC111344752/LOC111328207,11
GO:0038023,signaling receptor activity,24/214,293/8488,0.081911263,3.248891582,6.300196275,3.11E-07,6.13E-05,5.11E-05,LOC111345835/LOC111328393/LOC111324192/LOC111323862/LOC111342023/LOC111343017/LOC111323945/LOC111335693/LOC111333478/LOC111333901/LOC111337453/LOC111323777/LOC111345144/LOC111339275/LOC111342143/LOC111327334/LOC111321593/LOC111333893/LOC111324532/LOC111322245/LOC111337462/LOC111340596/LOC111340622/LOC111342147,24
GO:0098743,cell aggregation,7/214,20/8488,0.35,13.88224299,9.275605927,3.44E-07,6.34E-05,5.28E-05,LOC111327880/LOC111328024/LOC111320817/LOC111323862/LOC111320821/LOC111333478/LOC111320842,7
GO:0008045,motor neuron axon guidance,12/214,77/8488,0.155844156,6.181332686,7.344956942,4.21E-07,7.24E-05,6.03E-05,LOC111327880/LOC111328024/LOC111328393/LOC111332158/LOC111342023/LOC111336934/LOC111333478/LOC111333901/LOC111323777/LOC111345144/LOC111341532/LOC111338912,12
GO:0008237,metallopeptidase activity,13/214,92/8488,0.141304348,5.604632263,7.141326351,4.45E-07,7.24E-05,6.03E-05,LOC111327880/LOC111323911/LOC111320816/LOC111333986/LOC111324935/LOC111324993/LOC111336934/LOC111324983/LOC111342546/LOC111324945/LOC111321502/LOC111335667/LOC111324943,13
GO:0008236,serine-type peptidase activity,11/214,65/8488,0.169230769,6.712293314,7.434641077,5.48E-07,8.42E-05,7.01E-05,LOC111327880/LOC111320952/LOC111328749/LOC111336934/LOC111338418/LOC111327334/LOC111323636/LOC111326544/LOC111333695/LOC111344752/LOC111328207,11
GO:0072376,protein activation cascade,6/214,14/8488,0.428571429,16.99866489,9.634512823,6.08E-07,8.83E-05,7.36E-05,LOC111327252/LOC111328749/LOC111338418/LOC111327334/LOC111323636/LOC111328207,6
