SampleCode,plate,area mm^2,color,temp,pH,LightDepth,OxyRate nmol/mm2/min
plateD_NF_8.2_7,plateD,0.521,NF,23,8.2,10m,5.267694997
plateD_NF_8.2_7,plateD,0.521,NF,23,8.2,10m,4.2142
plateD_NF_8.2_3,plateD,1.689,NF,23,8.2,10m,3.014369385
med_Flu_polyp,plate 1,0.333,PF,23,8.2,10m,2.867802693
plateD_NF_8.2_2,plateD,1.301,NF,23,8.2,10m,2.622935585
plateD_NF_8.2_3,plateD,1.689,NF,23,8.2,10m,2.411495508
plateD_NF_8.2_2,plateD,1.301,NF,23,8.2,10m,2.098348468
plateC_HF_8.2_7,plateC,1.913,HF,23,8.2,10m,1.725445625
plateC_HF_8.2_8,plateC,1.411,HF,23,8.2,10m,1.662655881
plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.6257
high_Flu_polyp,plate 1,0.647,HF,23,8.2,10m,1.620603572
plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.585159734
plateC_HF_8.2_13,plateC,3.246,HF,23,8.2,10m,1.512487326
med_Flu_polyp_5,plate 1,1.003,PF,23,8.2,10m,1.509365719
plateC_HF_8.2_14,plateC,2.17,HF,23,8.2,10m,1.464400666
plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.443727496
plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.399497436
med_Flu_polyp,plate 1,0.617,PF,23,8.2,10m,1.394723259
plateC_HF_8.2_7,plateC,1.913,HF,23,8.2,10m,1.3803565
med_Flu_polyp,plate 1,0.834,PF,23,8.2,10m,1.364860862
high_Flu_polyp,plate 1,0.611,HF,23,8.2,10m,1.344343387
plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.334579564
med_Flu_polyp,plate 1,1.587,PF,23,8.2,10m,1.331672195
plateC_HF_8.2_8,plateC,1.411,HF,23,8.2,10m,1.330124705
plateE_HF_control_6,plateE,1.202,HF,23,8.2,10m,1.3006
plateA_HF_27C_3,plateA,3.812,HF,23,8.2,10m,1.3006
plateE_HF_control_9,plateE,2.048,HF,23,8.2,10m,1.2901
plateC_HF_8.2_2,plateC,1.259,HF,23,8.2,10m,1.268127787
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.2602
med_Flu_polyp_1,plate 1,0.684,PF,23,8.2,10m,1.246431061
plateC_HF_8.2_1,plateC,1.861,HF,23,8.2,10m,1.229636027
plateC_HF_8.2_13,plateC,3.246,HF,23,8.2,10m,1.209989861
plateE_HF_control_4,plateE,1.684,HF,23,8.2,10m,1.2005
high_Flu_polyp,plate 1,0.939,HF,23,8.2,10m,1.191136116
plateC_HF_8.2_14,plateC,2.170,HF,23,8.2,10m,1.171520533
plateD_NF_8.2_5,plateD,1.115,NF,23,8.2,10m,1.154981997
plateD_NF_8.2_1,plateD,1.665,NF,23,8.2,10m,1.132451164
plateD_NF_8.2_8,plateD,1.263,NF,23,8.2,10m,1.119597949
plateD_NF_8.2_6,plateD,2.434,NF,23,8.2,10m,1.112170345
med_Flu_polyp,plate 1,0.784,PF,23,8.2,10m,1.110603728
plateD_NF_8.2_4,plateD,1.227,NF,23,8.2,10m,1.067663651
plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,1.057360491
plate2_96e,plate 2,2.930,NF,23,8.2,10m,1.0562
plate2_96e,plate 2,2.930,NF,23,8.2,10m ,1.0562
high_Flu_polyp,plate 1,0.761,HF,23,8.2,10m,1.043162105
plateF_NF_control_2,plateF,1.971,HF,23,8.2,10m,1.0321
plateE_HF_control_9,plateE,2.048,NF,23,8.2,10m,1.0321
med_Flu_polyp_3,plate 1,0.911,PF,23,8.2,10m,1.031251556
plateC_HF_8.2_7,plateC,3.214,HF,23,8.2,10m,1.026999839
plateE_HF_control_15,plateE,2.273,HF,23,8.2,10m,1.0253
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,1.0081
plateA_HF_27C_10,plateA,3.030,HF,23,8.2,10m,1.0081
plateC_HF_8.2_11,plateC,3.993,HF,23,8.2,10m,1.00187833
plateC_HF_8.2_1,plateC,1.861,HF,23,8.2,10m,0.983708821
plateE_NF_control_1,plateE,1.603,NF,23,8.2,10m,0.9639
plateE_HF_control_4,plateE,1.684,NF,23,8.2,10m,0.9604
plateF_NF_control_7,plateF,1.971,HF,23,8.2,10m,0.9604
med_Flu_polyp,plate 1,0.514,PF,23,8.2,10m,0.955430468
plate4_42a,plate 4,1.910,NF,23,8.2,10m,0.954117778
plateE_HF_control_10,plateE,4.181,HF,23,8.2,10m,0.9333
med_Flu_polyp_4,plate 1,0.982,PF,23,8.2,10m,0.907070144
plateD_NF_8.2_1,plateD,1.665,NF,23,8.2,10m,0.905960931
plateE_HF_control_13,plateE,2.162,HF,23,8.2,10m,0.9018
plate3_22a,plate 3,2.046,HF,32,8.2,10m,0.8980
Plate3_24a,plate 3,1.335,NF,32,8.2,10m,0.8935
plateD_NF_8.2_6,plateD,2.434,NF,23,8.2,10m,0.889736276
plate4_34a,plate 4,1.703,HF,23,8.2,10m,0.886746685
plateC_HF_8.2_6,plateC,2.916,HF,23,8.2,10m,0.863780284
med_Flu_polyp,plate 1,1.230,PF,23,8.2,10m,0.858256631
plateC_HF_8.2_10,plateC,1.004,HF,23,8.2,10m,0.845888393
plateC_HF_8.2_7,plateC,3.214,HF,23,8.2,10m,0.821599871
plateA_HF_27C_1,plateA,1.292,HF,23,8.2,10m,0.8202
plateE_HF_control_15,plateE,2.273,HF,23,8.2,10m,0.8202
plateE_HF_control_8,plateE,3.690,HF,23,8.2,10m,0.8139
plateE_HF_control_3,plateE,1.621,HF,23,8.2,10m,0.8032
plateC_HF_8.2_11,plateC,3.993,HF,23,8.2,10m,0.801502664
high_Flu_polyp,plate 1,0.529,HF,23,8.2,10m,0.800125567
high_Flu_polyp,plate 1,1.141,HF,23,8.2,10m,0.784896955
plateD_NF_8.2_10,plateD,2.767,NF,23,8.2,10m,0.773673047
plateE_NF_control_1,plateE,1.603,HF,23,8.2,10m,0.7711
plateA_HF_27C_2,plateA,6.021,NF,23,8.2,10m,0.771086707
plateE_NF_control_2,plateE,1.833,NF,23,8.2,10m,0.7475
plateF_NF_control_5,plateF,1.623,HF,23,8.2,10m,0.7466
plateE_HF_control_10,plateE,4.181,HF,23,8.2,10m,0.7466
plateE_HF_control_11,plateE,2.271,HF,23,8.2,10m,0.7319
plate2_4c,plate 2,2.422,HF,23,8.2,10m,0.727267515
plateE_HF_control_13,plateE,2.162,NF,23,8.2,10m,0.7214
plateF_NF_control_1,plateF,2.205,HF,23,8.2,10m,0.7214
plate4_41c,plate 4,4.331,PF,23,8.2,10m,0.705111364
plateC_HF_8.2_6,plateC,2.916,HF,23,8.2,10m,0.691024227
plateB_HF_27C_3,plateB,1.676,HF,27,8.2,10m,0.6893
plateE_HF_control_1,plateE,2.118,HF,23,8.2,10m,0.6823
plate2_16c,plate 2,1.092,HF,27,8.2,10m,0.6666
plateE_HF_control_8,plateE,3.690,NF,23,8.2,10m,0.6511
plateE_HF_control_7,plateE,1.373,HF,23,8.2,10m,0.6426
plateE_HF_control_3,plateE,1.621,NF,23,8.2,10m,0.6426
plate4_41a,plate 4,2.895,PF,23,8.2,10m,0.638675245
plateD_NF_8.2_9,plateD,3.367,NF,23,8.2,10m,0.628967328
plateC_HF_8.2_5,plateC,4.105,HF,23,8.2,10m,0.620949992
plateD_NF_8.2_10,plateD,2.767,NF,23,8.2,10m,0.618938438
plate1_38e,plate 1,2.474,PF,23,8.2,10m,0.60021799
plateC_HF_8.2_12,plateC,5.988,HF,23,8.2,10m,0.598889216
plateE_NF_control_2,plateE,1.833,HF,23,8.2,10m,0.5980
plateA_HF_27C_9,plateA,1.890,NF,23,8.2,10m,0.5980
plateE_HF_control_11,plateE,2.271,HF,23,8.2,10m,0.5855
plateA_HF_27C_7,plateA,6.002,HF,23,8.2,10m,0.585507239
med_Flu_polyp_7,plate 1,0.681,PF,23,8.2,10m,0.574239312
plateD_NF_50m_5,plateD,4.003,HF,27,8.2,10m,0.5514
plateC_HF_8.2_1,plateC,4.169,HF,23,8.2,10m,0.548897252
plateA_HF_27C_8,plateA,1.325,HF,23,8.2,10m,0.5459
plateE_HF_control_1,plateE,2.118,HF,23,8.2,10m,0.5459
plate2_62a,plate 2,1.836,PF,27,8.2,10m,0.5457
plate1_64b,plate 1,5.983,HF,27,8.2,10m,0.5407
plate2_4b,plate 2,10.467,HF,23,8.2,10m,0.53615193
plateB_NF_27C_13,plateB,5.307,NF,27,8.2,10m,0.5353
plate4_41b,plate 4,4.180,PF,23,8.2,10m,0.532562667
plateB_HF_27C_2,plateB,2.896,HF,27,8.2,10m,0.5128
plateD_NF_8.2_9,plateD,3.367,NF,23,8.2,10m,0.503173862
plate1_12b,plate 1,2.569,NF,27,8.2,10m,0.4978
plateC_HF_8.2_5,plateC,4.105,HF,23,8.2,10m,0.496759994
plate1_66b,plate 1,4.076,HF,32,8.2,10m,0.4957
med_Flu_polyp,plate 1,1.157,PF,23,8.2,10m,0.493558561
plateC_NF_27C_2,plateC,2.062,NF,27,8.2,10m,0.4928
plateA_HF_27C_1,plateA,1.292,HF,27,8.2,10m,0.4884
plate3_68b,plate 3,0.854,PF,32,8.2,10m,0.4834
plate2_5a,plate 2,2.966,PF,23,8.2,10m,0.480044918
plateC_HF_8.2_12,plateC,5.988,HF,23,8.2,10m,0.479111373
med_Flu_polyp,plate 1,0.693,PF,23,8.2,10m,0.477353385
plateC_HF_8.2_4,plateC,3.461,HF,23,8.2,10m,0.472343087
plate2_16b,plate 2,1.597,HF,27,8.2,10m,0.4694
plateC_HF_8.2_3,plateC,3.147,HF,23,8.2,10m,0.462068198
plate1_64a,plate 1,1.934,HF,27,8.2,10m,0.4589
plateC_HF_8.2_1,plateC,4.169,HF,23,8.2,10m,0.439117802
plate1_97a,plate 1,2.838,HF,23,8.2,10m,0.437272762
plateB_NF_27C_6,plateB,4.532,NF,27,8.2,10m,0.4302
plateD_NF_50m_2,plateD,1.191,NF,27,8.2,10m,0.4283
plate3_68a,plate 3,3.679,PF,32,8.2,10m,0.4193
plate1_64c,plate 1,4.416,HF,27,8.2,10m,0.4143
plateD_NF_50m_7,plateD,8.495,HF,27,8.2,10m,0.4103
plateC_HF_50m_5,plateC,3.959,HF,27,8.2,10m,0.3907
plate5_41f,plate 5,4.665,PF,23,8.2,10m,0.390427101
plate1_12a,plate 1,1.407,NF,27,8.2,10m,0.3895
plateB_NF_27C_10,plateB,1.372,NF,27,8.2,10m,0.3882
plateC_HF_8.2_4,plateC,3.461,HF,23,8.2,10m,0.37787447
plate2_20a,plate 2,2.251,PF,32,8.2,10m,0.3720
plateC_HF_8.2_3,plateC,3.147,HF,23,8.2,10m,0.369654558
plate3_24b,plate 3,2.641,NF,32,8.2,10m,0.3695
plate1_38c,plate 1,4.799,PF,23,8.2,10m,0.366447472
plateE_HF_control_5,plateE,2.182,HF,23,8.2,10m,0.3587
plate3_68d,plate 3,5.389,PF,32,8.2,10m,0.3401
med_Flu_polyp,plate 1,1.385,PF,23,8.2,10m,0.336041533
med_Flu_polyp,plate 1,0.596,PF,23,8.2,10m,0.335438959
plate1_66c,plate 1,1.416,HF,32,8.2,10m,0.3299
med_Flu_polyp_8,plate 1,0.771,PF,23,8.2,10m,0.319012201
plateC_NF_27C_4,plateC,2.397,NF,27,8.2,10m,0.3075
plateF_NF_control_5,plateF,1.623,NF,23,8.2,10m,0.3059
plate2_61b,plate 2,2.295,HF,32,8.2,10m,0.3000
plateB_NF_27C_8,plateB,1.603,NF,27,8.2,10m,0.2994
plate1_23a,plate 1,3.323,PF,32,8.2,10m,0.2987
plateE_HF_control_5,plateE,2.182,HF,23,8.2,10m,0.2869
plateF_NF_control_4,plateF,3.582,HF,23,8.2,10m,0.2869
plateA_HF_27C_3,plateA,3.812,HF,27,8.2,10m,0.2735
plateB_NF_27C_5,plateB,2.969,NF,27,8.2,10m,0.2560
plateB_NF_27C_9,plateB,1.932,NF,27,8.2,10m,0.2517
plate1_7d,plate 1,4.698,HF,23,8.2,10m,0.248127126
plate1_9b,plate 1,5.596,NF,23,8.2,10m,0.245715747
plateF_NF_control_5,plateF,1.623,HF,23,8.2,10m,0.2447
plateB_NF_27C_13,plateB,5.307,NF,23,8.2,10m,0.244685644
plateD_NF_50m_6,plateD,1.684,NF,27,8.2,10m,0.2395
plateA_HF_27C_7,plateA,6.002,HF,27,8.2,10m,0.2381
plateF_NF_control_7,plateF,1.971,NF,23,8.2,10m,0.2349
plate1_66a,plate 1,1.843,HF,32,8.2,10m,0.2311
plate5_41d,plate 5,3.806,PF,23,8.2,10m,0.227970737
plateA_HF_27C_6,plateA,2.514,HF,27,8.2,10m,0.2225
plate1_38b,plate 1,2.352,PF,23,8.2,10m,0.208062037
plateD_NF_50m_8,plateD,5.511,NF,27,8.2,10m,0.2014
plate2_16a,plate 2,8.450,HF,27,8.2,10m,0.1941
plateF_NF_control_1,plateF,2.205,NF,23,8.2,10m,0.1890
plateF_NF_control_7,plateF,1.971,HF,23,8.2,10m,0.1879
plateA_HF_27C_6,plateA,2.514,NF,23,8.2,10m,0.1879
plateC_HF_50m_15,plateC,2.312,HF,27,8.2,10m,0.1780
plateB_NF_27C_15,plateB,5.768,NF,27,8.2,10m,0.1778
plate2_99a,plate 2,4.548,NF,23,8.2,10m,0.171618923
plate2_10b,plate 2,2.337,HF,27,8.2,10m,0.1712
plate4_35a,plate 4,4.249,PF,23,8.2,10m,0.17035588
plateF_NF_control_3,plateF,2.351,NF,23,8.2,10m,0.1588
plateA_HF_27C_1,plateA,1.292,NF,23,8.2,10m,0.1512
plateF_NF_control_1,plateF,2.205,HF,23,8.2,10m,0.1512
plateA_HF_27C_8,plateA,1.325,HF,27,8.2,10m,0.1349
plateA_HF_27C_5,plateA,4.281,HF,27,8.2,10m,0.1345
plate3_68c,plate 3,3.476,PF,32,8.2,10m,0.1343
plate2_4d,plate 2,5.016,HF,23,8.2,10m,0.133106486
plateA_HF_27C_1,plateA,1.292,HF,27,8.2,10m,0.1319
plate1_38d,plate 1,3.622,PF,23,8.2,10m,0.130141245
plateF_NF_control_3,plateF,2.351,HF,23,8.2,10m,0.1270
plateB_NF_27C_3,plateB,3.536,NF,23,8.2,10m,0.1270
plateE_HF_control_2,plateE,1.180,HF,23,8.2,10m,0.1252
high_Flu_polyp,plate 1,0.958,HF,23,8.2,10m,0.122043797
plate1_25a,plate 1,3.492,HF,32,8.2,10m,0.1197
plate1_36a,plate 1,4.611,NF,23,8.2,10m,0.113460242
plate5_41e,plate 5,8.723,PF,23,8.2,10m,0.111566957
plate1_38a,plate 1,2.885,PF,23,8.2,10m,0.109608566
plateA_HF_27C_9,plateA,1.890,HF,27,8.2,10m,0.1037
plate1_38f,plate 1,2.925,PF,23,8.2,10m,0.102183258
plateE_HF_control_2,plateE,1.180,HF,23,8.2,10m,0.1002
plateA_HF_27C_4,plateA,4.247,HF,23,8.2,10m,0.1002
plate4_35b,plate 4,3.344,PF,23,8.2,10m,0.099393135
plateB_NF_27C_17,plateB,2.596,NF,27,8.2,10m,0.0966
plateA_HF_32C_2,plateA,1.923,HF,32,8.2,10m,0.0958
plateB_NF_27C_1,plateB,2.573,NF,27,8.2,10m,0.0881
plate2_10a,plate 2,3.774,HF,27,8.2,10m,0.0876
plate1_7b,plate 1,5.183,HF,23,8.2,10m,0.078445464
plateA_HF_27C_10,plateA,3.030,HF,27,8.2,10m,0.0748
plateA_HF_27C_4,plateA,4.247,HF,27,8.2,10m,0.0739
plateB_NF_27C_12,plateB,2.121,NF,27,8.2,10m,0.0732
plate2_61a,plate 2,3.408,HF,32,8.2,10m,0.0630
plateA_NF_32C_5,plateA,2.259,NF,32,8.2,10m,0.0622
plateA_HF_32C_1,plateA,1.900,HF,32,8.2,10m,0.0584
plateB_NF_27C_14,plateB,4.190,NF,27,8.2,10m,0.0542
plateB_NF_27C_16,plateB,4.729,NF,27,8.2,10m,0.0533
plateA_NF_32C_2,plateA,2.377,NF,32,8.2,10m,0.0510
plateA_HF_27C_2,plateA,6.021,HF,27,8.2,10m,0.0498
plateA_NF_32C_3,plateA,3.696,NF,32,8.2,10m,0.0480
plateA_NF_32C_7,plateA,4.184,NF,32,8.2,10m,0.0474
plateD_NF_50m_4,plateD,3.123,NF,27,8.2,10m,0.0434
plateB_NF_27C_11,plateB,1.157,NF,27,8.2,10m,0.0422
plate2_61c,plate 2,5.048,HF,32,8.2,10m,0.0411
plateA_NF_32C_4,plateA,3.187,NF,32,8.2,10m,0.0410
plateA_NF_32C_1,plateA,4.090,NF,32,8.2,10m,0.0400
plateA_NF_32C_6,plateA,5.527,NF,32,8.2,10m,0.0375
plate1_9a,plate 1,5.535,NF,23,8.2,10m,0.036522964
plate1_7c,plate 1,5.047,HF,23,8.2,10m,0.032041253
plateE_HF_control_14,plateE,2.189,HF,23,8.2,10m,0.0313
plate2_96c,plate 2,4.624,NF,23,8.2,10m,0.028813599
plateE_HF_control_14,plateE,2.189,NF,23,8.2,10m,0.0250
plateF_NF_control_3,plateF,2.351,HF,23,8.2,10m,0.0250
plateB_NF_27C_7,plateB,2.416,NF,27,8.2,10m,0.0250
plate1_3a,plate 1,2.212,NF,23,8.2,10m,0.024418531
plateB_HF_27C_1,plateB,1.415,HF,27,8.2,10m,0.0205
plateB_NF_27C_2,plateB,4.310,NF,27,8.2,10m,0.0190
plate2_96d,plate 2,5.925,NF,23,8.2,10m,0.016802198
plateC_HF_50m_10,plateC,1.534,HF,27,8.2,10m,0.0164
plate2_96b,plate 2,2.478,NF,23,8.2,10m,0.016079711
plate2_5f,plate 2,4.111,PF,23,8.2,10m,0.0118
plate1_6b,plate 1,3.675,NF,23,8.2,10m,0.010059366
plateB_NF_27C_3,plateB,3.536,NF,27,8.2,10m,0.0075
plateD_NF_50m_1,plateD,1.639,HF,27,8.2,10m,0.0060
plate2_5d,plate 2,4.955,PF,23,8.2,10m,0.005922256
plate2_5e,plate 2,5.076,PF,23,8.2,10m,0.004878325
plateC_NF_27C_1,plateC,1.575,NF,27,8.2,10m,0.0008
med_Flu_polyp,plate 1,0.871,PF,23,8.2,10m,0.000106077
